original_product,original_category,catalog_product,catalog_category,confidence
NECTAR COMPAL MANGA 1L,Soft Drinks,Sumo,Bebidas,Manual
PAO DE FORMA DE RIO MAIOR 500G,Padaria,Pão,Padaria & Pastelaria,Manual
MORANGO PREMIUM NACIONAL,Frutas e Legumes,Morangos,Frutas & Legumes,Manual
PAPEL DE ALUMINIO CNT 30M,Limpeza do Lar,Papel de alumínio,Casa,Manual
PEPINO CNT KG,Frutas e Legumes,Pepino,Frutas & Legumes,Manual
GB VASELINE CAMOM E MEL 1L,Higiene,Gel duche,Higiene & Saúde,Manual
MASSA PIMENTAO CONTINENTE 200G,Mercearia Salgada,Massa,Cereais,Manual
CAD ESP A4 CDURA Q 100F 80G 5BA,Cultura,Papel A4,Casa,Manual
PARGO MULATO FRESCO KG,Peixaria,Peixe,Carne & Peixe,Manual
OVOS DE SOLO CLASSE L CNT 1DZ,Laticinios/Beb. Veg.,Ovos,Lacticínios,Manual
TOSTA SUECA CONTINENTE EMB.225G,Padaria,Tostas,Padaria & Pastelaria,Manual
PAPAIA,Frutas e Legumes,Papaia,Frutas & Legumes,Manual
BOLA DE LENHA 100G,Padaria,Pão,Padaria & Pastelaria,Manual
AZEITONA MISTA NEGRINHA CNT 210,Frutas e Legumes,Azeitonas,Frutas & Legumes,Manual
BATATA DOCE,Frutas e Legumes,Batatas,Frutas & Legumes,Manual
CEREAIS FITNESS 640G+50% OFERTA,Pequeno Almoco,Cereais,Cereais,Manual
FRANGO CAMPESTRE KG AT,Talho,Frango,Carne & Peixe,Manual
MINI TOMATE CACHO CNT 500G,Frutas e Legumes,Tomates,Frutas & Legumes,Manual
BOL DIGESTIVE AVEIA CNT 425GR,Mercearia Doce,Bolachas,Cereais,Manual
YOFU SOJA ALPRO FR VERMELHOS S/,Laticinios/Beb. Veg.,Iogurtes,Lacticínios,Manual
CAFE DELTA Q QHARACTER 10CAP,Pequeno Almoco,Café,Bebidas,Manual
CAF TIMO DELTACAFE DELTA TIMOR,Pequeno Almoco,Café,Bebidas,Manual
GB FLOR DE LARANJEIRA NALLY 1L,Higiene,Gel duche,Higiene & Saúde,Manual
CROISSANT / PAO MISTO,Cafetaria,Croissant,Padaria & Pastelaria,Manual
LEITE UHT MG NOVA ACORES 6X1 LT,Laticinios/Beb. Veg.,Leite,Lacticínios,Manual
LIMA CNT KG,Frutas e Legumes,Lima,Frutas & Legumes,Manual
PAO MASSA MAE ALENTEJANO KG,Padaria,Pão,Padaria & Pastelaria,Manual
ATUM OLEO BOM PETISCO 251G,Mercearia Salgada,Atum,Carne & Peixe,Manual
MELAO VERDE,Frutas e Legumes,Melão,Frutas & Legumes,Manual
CAPSULAS DESCAFEINADO L OR,Pequeno Almoco,Café,Bebidas,Manual
SALMAO INTEIRO KG,Peixaria,Salmão,Carne & Peixe,Manual
CEREAIS CHOCAPIC 740G + OF 35%,Pequeno Almoco,Chocapic,Cereais,Manual
SAB.COCO 90G,Higiene,Sabonete,Higiene & Saúde,Manual
FIO DENTARIO FLOSSERS CNT 64UN,Higiene,Flossers,Higiene & Saúde,Manual
OVOS AR LIVRE CNT 1DZ,Laticinios/Beb. Veg.,Ovos,Lacticínios,Manual
SALMAO INT PEQUENO FRESCO KG,Peixaria,Salmão,Carne & Peixe,Manual
SKYR SOL CNT EQ MORANGO 150G,Laticinios/Beb. Veg.,Morangos,Frutas & Legumes,Manual
ALFACE ICEBERG 300G CNT,Frutas e Legumes,Alface,Frutas & Legumes,Manual
ESPARGUETE MILANEZA 1KG,Bens Essenciais,Esparguete,Cereais,Manual
OVOS SOLO M CONTINENTE 1/2DZ,Laticinios/Beb. Veg.,Ovos,Lacticínios,Manual
BOVINO PICANHA UE LS,Talho,Picanha,Carne & Peixe,Manual
CEREAIS FITNESS 625G,Pequeno Almoco,Cereais,Cereais,Manual
GALETES FINI MILHO SALUTEM 130G,Mercearia Doce,Bolachas de milho,Snacks & Doces,Manual
BANHA CONTINENTE 230G,Laticinios/Beb. Veg.,Banha,Ingredientes & Temperos,Manual
FL DE AVEI GROSSOS CNTEQ 400G,Pequeno Almoco,Aveia,Cereais,Manual
NECTARINA CNT KG,Frutas e Legumes,Nectarina,Frutas & Legumes,Manual
LEITE UHT M/G MIMOSA B ESSEN 1L,Laticinios/Beb. Veg.,Leite,Lacticínios,Manual
MASSA MACAR RISC MILANEZA 500G,Bens Essenciais,Massa,Cereais,Manual
ESPARGUETE QUAD.MILANEZA 500G,Bens Essenciais,Esparguete,Cereais,Manual
BOL DOS MARINHEIROS MILHO CUETA,Mercearia Doce,Bolachas marinheiras,Padaria & Pastelaria,Manual
ESPARGUETE MILANEZA 2KG,Bens Essenciais,Esparguete,Cereais,Manual
DIOSPIRO,Frutas e Legumes,Diospíros,Frutas & Legumes,Manual
QJ FLAMENGO LIMIANO FATIAS,Charcutaria&Queijos,Queijo fatiado,Lacticínios,Manual
DEO ROLL ON NIVEA 50ML,Higiene,Desodorizante roll-on Nivea man,Higiene & Saúde,Manual
PIP MIC DOCE CONTINENTE 3*100G,Mercearia Salgada,Doce,Snacks & Doces,Manual
MORANGO PREMIUM NACIONAL 1 KG,Frutas e Legumes,Morangos,Frutas & Legumes,Manual
COND. ELVIVE FULL RESIST 300M,Beleza,Amaciador cabelo,Higiene & Saúde,Manual
CHA SENE FOLICUL HAPPYFLORA 50G,Pequeno Almoco,Chá,Bebidas,Manual
SARD S/P E S/E EM AZEITE CNT SE,Mercearia Salgada,Azeite,Ingredientes & Temperos,Manual
LARANJA ZERO DESPERDICIO CAL.2/,Frutas e Legumes,Laranja,Frutas & Legumes,Manual
FARINHA ESPIGA T55 1KG,Bens Essenciais,Farinha,Cereais,Manual
FRANGO INT. CONTINENTE 2 UN KG,Talho,Frango,Carne & Peixe,Manual
YOFU MANGA ALPRO S/ ACUCAR 400G,Laticinios/Beb. Veg.,Manga,Frutas & Legumes,Manual
MACA VERMELHA ZERO DESPERDICIO,Frutas e Legumes,Maça,Frutas & Legumes,Manual
ALFACE ROXA SACO CNT EMB 200 G,Frutas e Legumes,Alface,Frutas & Legumes,Manual
LEITE CORP MYLAB AMEND&SAN 400M,Beleza,Gel duche,Higiene & Saúde,Manual
MACA GALA R0 NACIONAL 65/70 1 K,Frutas e Legumes,Maçã royal gala,Frutas & Legumes,Manual
ARROZ CIGALA RISOTTO 1 KG,Bens Essenciais,Arroz,Cereais,Manual
FRANGO INTEIRO SACO 1 UN CNT KG,Talho,Frango,Carne & Peixe,Manual
ESPARGOS BIO EMB PT-BIO-03,Frutas e Legumes,Espargos,Frutas & Legumes,Manual
AIPO CNT EMB. 500GR,Frutas e Legumes,Aipo,Frutas & Legumes,Manual
PERNA DE FRANGO COMPRA/AT,Talho,Frango,Carne & Peixe,Manual
CITRINOS ALGARVE IGP LARANJA KG,Frutas e Legumes,Laranja,Frutas & Legumes,Manual
SALS PICANTE CHURRASCO CNT 200G,Charcutaria&Queijos,Sal,Ingredientes & Temperos,Manual
MORANGO PREMIUM 1 KG,Frutas e Legumes,Morangos,Frutas & Legumes,Manual
MEIA LEITE DESCAFEINADO,Cafetaria,Leite,Lacticínios,Manual
ESPINAFRE RESIDUO ZERO 125GR,Frutas e Legumes,Espinafres,Frutas & Legumes,Manual
SACOS LIXO FF CNT 50L 15UN,Limpeza do Lar,Sacos do lixo,Casa,Manual
POLVILHO DOCE FERBAR SQT 500G,Bens Essenciais,Doce,Snacks & Doces,Manual
AZEITONA GALEGA DA BEIRA-BAIXA,Frutas e Legumes,Azeitonas,Frutas & Legumes,Manual
O NOSSO CROISSANT UN (AB),Padaria,Croissant,Padaria & Pastelaria,Manual
QUINOA TRICOLOR CNT EQ. 500G,Bens Essenciais,Quinoa,Cereais,Manual
FEIJAO PRETO SEARA BIO 500G,Bens Essenciais,Feijao,Cereais,Manual
BIFE DE FRANGO CONTINENTE LS,Talho,Frango,Carne & Peixe,Manual
LINDAHLS SOL ANANAS COCO 1X160G,Laticinios/Beb. Veg.,Iogurte,Lacticínios,Manual
LEITE T.NOST PASTAG UHT M/G 1L,Laticinios/Beb. Veg.,Leite,Lacticínios,Manual
REFRIGERANTE,Rest. e Cafetaria,Refrigerante,Bebidas,Manual
SAB.GLIC.VEGETAL,Higiene,Sabonete,Higiene & Saúde,Manual
COGUMELO PORTOBELLO CNT 250G,Frutas e Legumes,Cogumelos,Frutas & Legumes,Manual
CAFE DELTA Q QALIDUS 10CAP,Pequeno Almoco,Café,Bebidas,Manual
CAFE L OR COLOMBIA DECAF 10CAP,Pequeno Almoco,Café,Bebidas,Manual
SAL MARNOTO 1KG,Mercearia Salgada,Sal,Ingredientes & Temperos,Manual
SAL PURIF.CRIST.IODA.VATEL 1KG,Mercearia Salgada,Sal,Ingredientes & Temperos,Manual
ACUCAR BRANCO CONTINENTE 1KG,Bens Essenciais,Açúcar,Ingredientes & Temperos,Manual
REQUEIJAO OVELHA SEIA TAVARES U,Charcutaria&Queijos,Requeijão,Lacticínios,Manual
FIAMBRE PERNA EXT FAT CNT 200G,Charcutaria&Queijos,Fiambre,Carne & Peixe,Manual
FILTROS CAFE CNT N 4 100UN,Limpeza do Lar,Filtros café,Bebidas,Manual
PROT COLCHAO ACOLCH IMPERM PU 9,Casa-Texteis/Decor,Proteção colchão,Casa,Manual
AMAC CONC COMFOR ESSENCIA LILY,Limpeza do Lar,Amaciador,Casa,Manual
OVOS SOLO M CNTINENTE 1/2DZ,Laticinios/Beb. Veg.,Ovos,Lacticínios,Manual
TORTITA ARROZ S/SAL CNT EQ 130G,Mercearia Doce,Bolachas,Snacks & Doces,Manual
LIPTON COLD INF MENTA LIMA 15PY,Pequeno Almoco,Chá,Bebidas,Manual
DOCE FRUTOS VERM. 0% ACUCAR AD,Charcutaria&Queijos,Doce,Snacks & Doces,Manual
MOELAS FRANGO EMB.FAM. LS,Talho,Frango,Carne & Peixe,Manual
MACA GALA NACIONAL KG,Frutas e Legumes,Maçã royal gala,Frutas & Legumes,Manual
ISESPARGUETE MILANEZA 1KG,Bens Essenciais,Esparguete,Cereais,Manual
ALHO MOIDO CONTINENTE FRS 55G,Mercearia Salgada,Alho,Frutas & Legumes,Manual
LIMAO ZER0%D 1KG,Frutas e Legumes,Limão,Frutas & Legumes,Manual
PAO MISTURA 400G,Padaria,Pão,Padaria & Pastelaria,Manual
PAO BICOS 50G,Padaria,Pão,Padaria & Pastelaria,Manual
FEIJAO MANTEIGA CONTINENTE 500G,Bens Essenciais,Manteiga,Lacticínios,Manual
PASTEIS BACALHAU CNT 300G,Congelados,Pasteis de bacalhau,Carne & Peixe,Manual
IOGURTE PROTEICO YO PRO MIRTILO,Laticinios/Beb. Veg.,Iogurtes,Lacticínios,Manual
UVA BRANCA S/ GRAINHA,Frutas e Legumes,Uvas,Frutas & Legumes,Manual
BATATA ASSAR EMB. 2 KG,Frutas e Legumes,Batatas,Frutas & Legumes,Manual
LIMA PROF GROSSA MYLABEL,Beleza,Lima,Higiene & Saúde,Manual
ALFACE FRISADA,Frutas e Legumes,Alface,Frutas & Legumes,Manual
COLGATE TOTAL ADVANCED ESMALTE,Higiene,Pasta de dentes,Higiene & Saúde,Manual
ALHO SECO KG,Frutas e Legumes,Alho,Frutas & Legumes,Manual
CHAMPO ELVIVE FULL RESIST 400ML,Beleza,Champô,Higiene & Saúde,Manual
LEITE UHT M/G MIMOSA 6*1L,Laticinios/Beb. Veg.,Leite,Lacticínios,Manual
ISBEB DE AVEIA S/GLUT CONT BIO 1L,Laticinios/Beb. Veg.,Aveia,Cereais,Manual
LIMPA VIDROS CONCENTRADO 500ML,DIY,Limpa vidros,Casa,Manual
COGUMELO MARRON CNT KG,Frutas e Legumes,Cogumelos,Frutas & Legumes,Manual
FAIRY MAO LIMAO 1250ML,Limpeza do Lar,Detergente da loiça,Casa,Manual
AGUA MONCHIQUE 51CL,Soft Drinks,Água,Bebidas,Manual
