category,product
Cereais,Farinha trigo T55
Higiene & Saúde,Amaciador cabelo
Frutas & Legumes,Feijão verde
Snacks & Doces,Gelatina
Carne & Peixe,Sapateira
Padaria & Pastelaria,Broa
Casa,Gel para mãos
Ingredientes & Temperos,Caldo verde
Snacks & Doces,Doce de abóbora
Ingredientes & Temperos,Cebola
Frutas & Legumes,Diospíros
Casa,Fósforos
Frutas & Legumes,Couve lombarda
Frutas & Legumes,Pimentos
Casa,Copo
Bebidas,Vinho verde
Bebidas,Vinho branco cozinhar
Lacticínios,Queijo flamengo fatiado
Lacticínios,Queijo ovelha/cabra
Lacticínios,Queijo mozzarella fresco
Lacticínios,Queijo mascarpone
Lacticínios,Queijo mozzarella ralado
Lacticínios,Manteiga s/ sal
Casa,Detergente maquina loiça
Carne & Peixe,Carne vaca
Cereais,Farinha bolos
Bebidas,Leite c/ chocolate
Carne & Peixe,Filetes de pescada
Snacks & Doces,Tremoços
Casa,Esfregona
Frutas & Legumes,Papaia
Cereais,Feijão branco
Casa,Esfregão aço inox
Ingredientes & Temperos,Banha
Ingredientes & Temperos,Levedura
Frutas & Legumes,Castanhas
Padaria & Pastelaria,Bolachas marinheiras
Congelados,Esparregado
Frutas & Legumes,Rúcula
